2026-04-30T14:56:05.078586 WARN empty_response doc_type=A11 start=201906300002 end=201909280002 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:06.317334 WARN empty_response doc_type=A11 start=201909280003 end=201912270003 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:08.970189 WARN empty_response doc_type=A11 start=201912270004 end=202003260004 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:10.249017 WARN empty_response doc_type=A11 start=202003260005 end=202006240005 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:11.522620 WARN empty_response doc_type=A11 start=202006240006 end=202009220006 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:14.519163 WARN empty_response doc_type=A11 start=202009220007 end=202012210007 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:15.822608 WARN empty_response doc_type=A11 start=202012210008 end=202103210008 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:17.063727 WARN empty_response doc_type=A11 start=202103210009 end=202106190009 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:19.063332 WARN empty_response doc_type=A11 start=202106190010 end=202109170010 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:20.929526 WARN empty_response doc_type=A11 start=202109170011 end=202112160011 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:22.172231 WARN empty_response doc_type=A11 start=202112160012 end=202203160012 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:23.734211 WARN empty_response doc_type=A11 start=202203160013 end=202206140013 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:27.093726 WARN empty_response doc_type=A11 start=202206140014 end=202209120014 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:28.331907 WARN empty_response doc_type=A11 start=202209120015 end=202212110015 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:29.548857 WARN empty_response doc_type=A11 start=202212110016 end=202303110016 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:31.754001 WARN empty_response doc_type=A11 start=202303110017 end=202306090017 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:32.985895 WARN empty_response doc_type=A11 start=202306090018 end=202309070018 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:34.366493 WARN empty_response doc_type=A11 start=202309070019 end=202312060019 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:35.677146 WARN empty_response doc_type=A11 start=202312060020 end=202403050020 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:36.987781 WARN empty_response doc_type=A11 start=202403050021 end=202406030021 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:38.416185 WARN empty_response doc_type=A11 start=202406030022 end=202409010022 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:39.713996 WARN empty_response doc_type=A11 start=202409010023 end=202411300023 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:41.554295 WARN empty_response doc_type=A11 start=202411300024 end=202502280024 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:42.982272 WARN empty_response doc_type=A11 start=202502280025 end=202505290025 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:44.676356 WARN empty_response doc_type=A11 start=202505290026 end=202508270026 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:46.674083 WARN empty_response doc_type=A11 start=202508270027 end=202511250027 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:47.996306 WARN empty_response doc_type=A11 start=202511250028 end=202512312359 extra={'in_Domain': '10YAT-APG------L', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:56:49.305630 WARN empty_response doc_type=A11 start=201901010000 end=201904010000 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:56:50.873661 WARN empty_response doc_type=A11 start=201904010001 end=201906300001 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:56:52.192562 WARN empty_response doc_type=A11 start=201906300002 end=201909280002 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:56:53.654295 WARN empty_response doc_type=A11 start=201909280003 end=201912270003 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
